rule,support,confidence,lift,antecedents_str,consequents_str
"{humidity=VeryHumid, temp=Medium} → {season=Monsoon, uhi=Neutral}",0.09780985564957691,0.7373358348968105,4.937692307692308,"humidity=VeryHumid, temp=Medium","season=Monsoon, uhi=Neutral"
"{season=Monsoon, uhi=Neutral} → {humidity=VeryHumid, temp=Medium}",0.09780985564957691,0.655,4.937692307692307,"season=Monsoon, uhi=Neutral","humidity=VeryHumid, temp=Medium"
"{anomaly=Normal, humidity=VeryHumid} → {season=Monsoon, uhi=Neutral}",0.08511697361871579,0.6993865030674847,4.6835582822085895,"anomaly=Normal, humidity=VeryHumid","season=Monsoon, uhi=Neutral"
"{season=Monsoon, temp=Medium, uhi=Neutral} → {humidity=VeryHumid}",0.09780985564957691,0.8273684210526316,4.3173588516746415,"season=Monsoon, temp=Medium, uhi=Neutral",humidity=VeryHumid
"{season=Monsoon, temp=Medium} → {humidity=VeryHumid, uhi=Neutral}",0.09780985564957691,0.6571906354515051,4.300638392905778,"season=Monsoon, temp=Medium","humidity=VeryHumid, uhi=Neutral"
"{humidity=VeryHumid, uhi=Neutral} → {season=Monsoon, temp=Medium}",0.09780985564957691,0.6400651465798046,4.300638392905777,"humidity=VeryHumid, uhi=Neutral","season=Monsoon, temp=Medium"
"{season=Monsoon, temp=Medium} → {humidity=VeryHumid}",0.11772025883524141,0.7909698996655519,4.12742474916388,"season=Monsoon, temp=Medium",humidity=VeryHumid
"{humidity=VeryHumid} → {season=Monsoon, temp=Medium}",0.11772025883524141,0.6142857142857142,4.12742474916388,humidity=VeryHumid,"season=Monsoon, temp=Medium"
"{humidity=VeryHumid} → {season=Monsoon, uhi=Neutral}",0.11597809855649577,0.6051948051948052,4.052787878787879,humidity=VeryHumid,"season=Monsoon, uhi=Neutral"
"{season=Monsoon, uhi=Neutral} → {humidity=VeryHumid}",0.11597809855649577,0.7766666666666667,4.052787878787879,"season=Monsoon, uhi=Neutral",humidity=VeryHumid
"{anomaly=Normal, season=Monsoon, uhi=Neutral} → {humidity=VeryHumid}",0.08511697361871579,0.7402597402597403,3.862809917355372,"anomaly=Normal, season=Monsoon, uhi=Neutral",humidity=VeryHumid
"{humidity=Moderate, precip=None, temp=Low} → {season=Winter, solar=Medium}",0.08138377302140368,0.6044362292051755,3.719180350607037,"humidity=Moderate, precip=None, temp=Low","season=Winter, solar=Medium"
"{precip=None, temp=Low, uhi=Neutral} → {season=Winter, wind=Light}",0.10029865604778497,0.6277258566978193,3.6982441234777683,"precip=None, temp=Low, uhi=Neutral","season=Winter, wind=Light"
"{humidity=Dry, uhi=Mild} → {season=Summer}",0.08387257341961175,0.9232876712328767,3.6657804970491092,"humidity=Dry, uhi=Mild",season=Summer
"{humidity=Moderate, solar=Medium, temp=Low} → {precip=None, season=Winter}",0.08138377302140368,0.7748815165876777,3.658606267507978,"humidity=Moderate, solar=Medium, temp=Low","precip=None, season=Winter"
"{humidity=Moderate, season=Winter} → {precip=None, solar=Medium, temp=Low}",0.08138377302140368,0.6687116564417177,3.6260235298013788,"humidity=Moderate, season=Winter","precip=None, solar=Medium, temp=Low"
"{season=Summer, temp=High} → {humidity=Dry}",0.08611249377799901,0.7424892703862661,3.598699503512687,"season=Summer, temp=High",humidity=Dry
"{temp=Low, uhi=Neutral} → {season=Winter, wind=Light}",0.11996017919362867,0.6085858585858586,3.5854809087946915,"temp=Low, uhi=Neutral","season=Winter, wind=Light"
